q0	Who has the highest goals in men's world international football?
q1	Who has the highest goals all-time in men's football?
q2	Who has the highest goals in women's world international football?
q3	Who is the original artist of sound of silence, the song, released in 1964?
q4	Who is the original artist of sound of silence, the album?
q5	Who is the original artist of sound of silence, the song, released in 2016?
q6	When was the first apple i phone released?
q7	When was the first apple i phone for beta testing made?
q8	When was the first apple i phone 1 made?
q9	When was the first apple i phone beta made?
q10	Who played  Bill weasley in Harry Potter and the Prisoner of Azkaban?
q11	Who played percy weasley in harry potter?
q12	Who played fred weasley in harry potter?
q13	Who played ron weasley in harry potter?
q14	Who played george weasley in harry potter?
q15	Who played  Bill weasley in harry potter (2001-2011)?
q16	How many state parks are there in virginia in 1936?
q17	How many state parks are there in virginia in 2016?
q18	How many state parks were there when the state park system formed in Virginia?
q19	How many state parks were there in Virginia as of 2016?
q20	Who are the teams that performed in competition at the champions league final 2018?
q21	Who performed best at the champions league final 2018, winning man of the match?
q22	Who performed at the opening ceremony of the champions league final 2018?
q23	Who performed the anthem at the champions league final 2018?
q24	Which character killed the man in thelma and louise?
q25	Which actor killed the man in thelma and louise?
q26	Who is the character that kills Harlan in the film Thelma and Louise?
q27	Who is the actor of the character that killed a man in the film Thelma and Louise?
q28	Who does Charlie Day play on It's Always Sunny in Philadelphia?
q29	Who plays Charlie Kelly on It's Always Sunny in Philadelphia?
q30	As of 2017, how many times have the lakers won the finals?
q31	As of 2016, how many times have the Lakers won the finals?
q32	As of 2015, how many times have the Lakers won the finals?
q33	How many states plus territories in india are under congress?
q34	How many states alone in india are under congress?
q35	Who played fruma sarah in the 1971 film, Fiddler on the Roof?
q36	Who played Fruma Sarah in the original 1964 Broadway cast of Fiddler on the Roof?
q37	Who is the character of Fruma Sarah in Fiddler on the Roof?
q38	Who played Fruma Sarah in the 2015-2016 Broadway Revival of Fiddler on the Roof?
q39	What date did toronto host the mlb all-star game?
q40	Which all-star game did toronto host?
q41	What kind of car in to catch a thief in terms of model?
q42	What kind of car in to catch a thief in terms of automobile make?
q43	When did season 4 of jersey shore first air?
q44	When did season 4 of jersey shore last air?
q45	When did season 5 of jersey shore first air?
q46	When did season 5 of jersey shore last air?
q47	When did season 6 of jersey shore first air?
q48	When did season 6 of jersey shore last air?
q49	What season of Grey's Anatomy was the plane crash involving six doctors?
q50	What season of Grey's Anatomy was the plane crash in Seattle that brought memories of a previous plane crash?
q51	What season of Grey's Anatomy was the plane crash that claimed the life of Lexie Grey?
q52	What season of Grey's Anatomy was the plane crash in downtown Seattle?
q53	As per the March 2018-2019 report, what is the number of branches of oriental bank of commerce in india?
q54	What is the number of branches of oriental bank of commerce in india after amalgamation of Global Trust Bank?
